,name,platform_id,url,total_review_count,address,id,image_url,lat,lng,zabiha_name,zabiha_lat,zabiha_lng,zabiha_distance,zabiha_similarity,mfoodies_name,mfoodies_lat,mfoodies_lng,mfoodies_distance,mfoodies_similarity,halal,note_1,note_2
60,Flatbush Halal Restaurant,m_BTgSsjn8T881XxMMmDuw,https://www.yelp.com/biz/flatbush-halal-restaurant-new-york?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,8,"{""1210 Flatbush Ave"",""New York, NY 11226""}",5229,https://s3-media2.fl.yelpcdn.com/bphoto/IHgw_TRd5rURgZsOE9GYoQ/o.jpg,40.640733,-73.956189,Flatbush Halal Restaurant,40.640733,-73.956189,0,1,YANA - Uyghur Kebab Express,40.7040511,-74.0090199,8.33201566,0.192307692,TRUE,In name,
61,Rocca Cafe Lounge,XAWp4A8xJYaEX8TepS1xOg,https://www.yelp.com/biz/rocca-cafe-lounge-brooklyn?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,468,"{""2712 Emmons Ave"",""Brooklyn, NY 11235""}",5231,https://s3-media1.fl.yelpcdn.com/bphoto/TGG5ItcSA0PAD4xcFtMJzA/o.jpg,40.58354,-73.94087,Rocca Caf��Ε�_ Lounge,40.5834713,-73.9408444,0.007939181,0.914285714,YANA - Uyghur Kebab Express,40.7040511,-74.0090199,14.58175607,0.136363636,TRUE,,
80,Sham's Halal Food,OzqtU_DMh29G8aJ4nO1a_A,https://www.yelp.com/biz/shams-halal-food-new-york?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,2,"{""Myrtle Ave & Catalpa Ave"",""New York, NY 11385""}",5270,https://s3-media1.fl.yelpcdn.com/bphoto/e4LnPI8o71-z2oqnmNRJxw/o.jpg,40.7002902,-73.90483014,Al-Mehran,40.708235,-73.803297,8.604237763,0.153846154,Affy's Premium Grill,40.764918,-73.9551707,8.344722217,0.27027027,TRUE,In name,
84,NYC Falafel,JtmzTnEDpS03tMytXOPUQw,https://www.yelp.com/biz/nyc-falafel-new-york-2?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,47,"{""201 Allen St"",""New York, NY 10002""}",5338,https://s3-media4.fl.yelpcdn.com/bphoto/Wgbfd2k9nWZ8woGrlzRneA/o.jpg,40.72251492,-73.98903005,Halal Village,40.724143,-73.988031,0.199653558,0.333333333,Krave Shack,40.721219,-73.9841088,0.439049389,0.181818182,TRUE,"First off, I asked owner who said that all of their meat is��_halal.",
91,Stay Fresh Grill & Deli,_BFY0UUh1HjLPNjQwyLSxg,https://www.yelp.com/biz/stay-fresh-grill-and-deli-brooklyn?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,152,"{""889 Broadway"",""Brooklyn, NY 11206""}",5345,https://s3-media2.fl.yelpcdn.com/bphoto/cXV7Yjnf4RDyl7ibykFIfA/o.jpg,40.698232,-73.937032,All About Indian Food,40.70231,-73.936898,0.453593593,0.227272727,Krave Shack,40.721219,-73.9841088,4.720017902,0.117647059,FALSE,?,
95,Melinda's Halal Meat Market,AnPTGX5DBVgwt5wKopzjlg,https://www.yelp.com/biz/melindas-halal-meat-market-brooklyn?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,7,"{""1535 Greene Ave"",""Brooklyn, NY 11237""}",5349,https://s3-media4.fl.yelpcdn.com/bphoto/YGoAwOffja1pz_GNuZBHTg/o.jpg,40.7043457,-73.91361237,Shawarma Cart,40.7037565,-73.918386,0.407694866,0.2,Peri Peri Grill House,40.729432,-73.978802,6.161711057,0.208333333,TRUE,In name,
99,Empire Gyro,RneXujwL5Cx0dCTVCSbHYw,https://www.yelp.com/biz/empire-gyro-new-york?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,63,"{""200 Allen St"",""New York, NY 10002""}",5353,https://s3-media2.fl.yelpcdn.com/bphoto/ITVOzQ86Uo7mjkwwpANDjw/o.jpg,40.72246,-73.98856,The MasalaWala,40.721573,-73.986657,0.188273142,0.16,Krave Shack,40.721219,-73.9841088,0.399692619,0.272727273,FALSE,?,
100,Kestane Kebab,57B4MYJiEjEKeY2I4c5c0w,https://www.yelp.com/biz/kestane-kebab-brooklyn?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,204,"{""110 Nassau Ave"",""Brooklyn, NY 11222""}",5354,https://s3-media1.fl.yelpcdn.com/bphoto/WdagdDP6NMWgRhmWQ8YaUA/o.jpg,40.72405624,-73.94934845,Kestane Kebab,40.724056,-73.949349,0,1,Peri Peri Grill House,40.729432,-73.978802,2.552925041,0.176470588,TRUE,,
106,Papa's Halal Fried Chicken & Ice-Cream,SpjrMgexbcazoEVkjjNj9w,https://www.yelp.com/biz/papas-halal-fried-chicken-and-ice-cream-brooklyn?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,15,"{""1036 Coney Island Ave"",""Brooklyn, NY 11230""}",5274,https://s3-media3.fl.yelpcdn.com/bphoto/FrHiu-nxwBvoFYsfyhqJgw/o.jpg,40.63227844,-73.96707916,Papa's Halal Fried Chicken & Pizza,40.6322919,-73.967024,0.004888898,0.833333333,YANA - Uyghur Kebab Express,40.7040511,-74.0090199,8.7295533,0.123076923,TRUE,In name,
108,David's Garden,9EhFV410DdsEFsirq-rd5Q,https://www.yelp.com/biz/davids-garden-brooklyn?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,20,"{""7610 5th Ave"",""Brooklyn, NY 11209""}",5318,https://s3-media1.fl.yelpcdn.com/bphoto/ghTYmsNwIFlB5YV0T_xKAQ/o.jpg,40.62857056,-74.02336121,Dixie Chicken & Grill ,40.6293792,-74.0229344,0.096862786,0.277777778,Kabul Kabob House,40.703428,-74.011081,8.387962015,0.193548387,TRUE,As I've moved out of Brooklyn - I travel back once a month for grocery shopping in Bay Ridge and always go to David's Garden (we eat��_halal),
111,Balady Foods,vfpOoIrPQXZ3KUydNpM2xQ,https://www.yelp.com/biz/balady-foods-brooklyn-4?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,72,"{""7128 5th Ave"",""Brooklyn, NY 11209""}",5321,https://s3-media2.fl.yelpcdn.com/bphoto/XnjsTMxWyDg-a6USaa0INQ/o.jpg,40.63199,-74.02178,Yemen Alsaeed Caf��Ε�_,40.631988,-74.021966,0.015697299,0.129032258,Kabul Kabob House,40.703428,-74.011081,7.994632555,0.413793103,TRUE,I always buy my��_halal��_meats and chicken from here. It's very busy so I know it's always fresh.,"Everything in the store is��_halal; it naturally taste better, could just be my opinion."
135,Shadman Restaurant,DTxsUnrcAQO-OXwwypPZjQ,https://www.yelp.com/biz/shadman-restaurant-jersey-city-2?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,217,"{""293 1/2 Grove St"",""Jersey City, NJ 07302""}",5726,https://s3-media3.fl.yelpcdn.com/bphoto/ETybBkniyskB4waDU1C-yw/o.jpg,40.7184,-74.0438,Hudson Halal Food Cart,40.713351,-74.0121273,2.727794104,0.2,Bakewell,40.7142821,-74.0114694,2.763028128,0.153846154,TRUE,https://www.yelp.com/biz_photos/shadman-restaurant-jersey-city-2?select=mXyFxqnhuJcVvraU0NpLzQ,
141,Halal Cart,9XAQem6beJ8zfhhU9F9RJA,https://www.yelp.com/biz/halal-cart-new-york-23?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,11,"{""9th Ave & 58th St"",""New York, NY 10019""}",5849,https://s3-media1.fl.yelpcdn.com/bphoto/1PIN9iiJNHOSWDwwKBQUKQ/o.jpg,40.76861,-73.98522,King Kabab,40.703707,-73.8220305,15.52844263,0.2,Affy's Premium Grill,40.764918,-73.9551707,2.56371905,0.133333333,TRUE,In name,
142,Adham's Halal Food,8VTT6HpYQcQNFLl4zujqPQ,https://www.yelp.com/biz/adhams-halal-food-manhattan?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,6,"{""W 35th St"",""Manhattan, NY""}",5850,https://s3-media1.fl.yelpcdn.com/bphoto/saf1mrvlmQNI-upCvx4FWQ/o.jpg,40.75226,-73.99157,Lemony Greek Yeero Bar,40.7518385,-73.991313,0.051626726,0.05,Top Thai Greenwich,40.7540758,-73.9926227,0.220521073,0.166666667,TRUE,In name,
143,Faith's Halal Food,#NAME?,https://www.yelp.com/biz/faiths-halal-food-manhattan?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,4,"{""7TH And 8th Ave"",""33rd St"",""Manhattan, NY 10001""}",5851,https://s3-media2.fl.yelpcdn.com/bphoto/v7jYBnT874n3qy45b6-T2A/o.jpg,40.75335278,-73.99008751,Tagine,40.754057,-73.989497,0.092768036,0.166666667,Munch,40.754057,-73.989497,0.092768036,0.086956522,TRUE,In name,
144,33rd St And 7th Ave NW Halal Cart,cZ4eKXNxAhTLza9fMnl7fg,https://www.yelp.com/biz/33rd-st-and-7th-ave-nw-halal-cart-new-york?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,4,"{""33RD St And 7th Ave Nw Halal Cart"",""New York, NY""}",5852,https://s3-media1.fl.yelpcdn.com/bphoto/WP6olvVrWWDml3ROtx9Z3w/o.jpg,40.7505212,-73.99140986,Penn Station Halal Cart,40.75032,-73.991119,0.033178588,0.535714286,Haat Bazaar Restaurent,40.748144,-73.993104,0.300396255,0.254545455,TRUE,In name,
150,AnTalia NYC,ugYhnKrr3Q1TVV15R0EEWQ,https://www.yelp.com/biz/antalia-nyc-new-york-3?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,420,"{""17 W 45th St"",""New York, NY 10036""}",5858,https://s3-media2.fl.yelpcdn.com/bphoto/gpSgIgDMZQNpH8YU7DaJyA/o.jpg,40.755991,-73.980313,AnTalia,40.756012,-73.980306,0.002408149,0.777777778,Lasani,40.757269,-73.9819229,0.196422641,0.235294118,TRUE,,
157,Tony's Halal Food,hXZR1z5ZFRjhXRPaZ1Oh_g,https://www.yelp.com/biz/tonys-halal-food-bronx?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,18,"{""156-198 Bedford Park Blvd W"",""Bronx, NY 10468""}",5299,https://s3-media3.fl.yelpcdn.com/bphoto/olK16zBWN7k6a8v1DryKig/o.jpg,40.87432159,-73.8914537,Curry & Kabob,40.8750076,-73.8794779,1.009801811,0.066666667,The Soul Spot,40.8615532,-73.9250403,3.16101445,0.333333333,TRUE,In name,
162,Musas Chinese Resturaunt,kyyy2fHpyncoIgS1qepzZQ,https://www.yelp.com/biz/musas-chinese-resturaunt-the-bronx?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,16,"{""2023 Westchester Ave"",""The Bronx, NY 10462""}",5304,https://s3-media4.fl.yelpcdn.com/bphoto/dzAXJJNNsYwmBJwC8Lrdgg/o.jpg,40.83387,-73.856815,Musa Halal Chinese ,40.833649,-73.8569686,0.027764763,0.604651163,The Soul Spot,40.8615532,-73.9250403,6.512127623,0.216216216,TRUE,,
168,Dukagjini Burek,SrcZZQKsddA43Meia-iZqQ,https://www.yelp.com/biz/dukagjini-burek-bronx?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,72,"{""758 Lydig Ave"",""Bronx, NY 10462""}",5310,https://s3-media3.fl.yelpcdn.com/bphoto/pdn2_euhbXCyqugdsm26LQ/o.jpg,40.85437,-73.86532,The Grill House,40.849824,-73.864656,0.508567854,0.133333333,The Soul Spot,40.8615532,-73.9250403,5.085620293,0.142857143,FALSE,"One point of clarification I discovered while talking to the manager and her son, they don't actually use ""halal"" meat.��_",
170,Ez Grill NYC,ju0UobdUZQWfyxWJEnoviQ,https://www.yelp.com/biz/ez-grill-nyc-bronx?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,135,"{""790 Lydig Ave"",""Bronx, NY 10462""}",5312,https://s3-media3.fl.yelpcdn.com/bphoto/GGLgt3jfkuabwJB8SUGNtw/o.jpg,40.85432202,-73.86416284,The Grill House,40.849824,-73.864656,0.501874161,0.518518519,The Soul Spot,40.8615532,-73.9250403,5.182579768,0.24,FALSE,"Called to ask if it was��_halal��_so the lady answers ""idk, are we?""-- thought that was pretty funny",
181,Five Star Pizza & Burger,HY2TVTqRB_Z_kYCBa7NO9w,https://www.yelp.com/biz/five-star-pizza-and-burger-bronx?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,12,"{""295 E Gun Hill Rd"",""Bronx, NY 10467""}",5363,https://s3-media3.fl.yelpcdn.com/bphoto/WFAw20j8n3Btj5xhQ1tXyw/o.jpg,40.8793228,-73.8745408,Kennedy Fried Chicken,40.8785897,-73.8733474,0.129274375,0.266666667,The Soul Spot,40.8615532,-73.9250403,4.68344096,0.216216216,FALSE,?,
188,Kennedy's Chicken & Grill,De6_GRCPNoByHknHtDdg4g,https://www.yelp.com/biz/kennedys-chicken-and-grill-new-york-2?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,7,"{""1550 St Nicholas Ave"",""New York, NY 10040""}",5370,https://s3-media1.fl.yelpcdn.com/bphoto/6dFCsnMgHzYea0f9vce90w/o.jpg,40.85326425,-73.93060451,Aladdin Grill & Rice,40.8505637,-73.9376813,0.666673692,0.311111111,The Soul Spot,40.8615532,-73.9250403,1.033680194,0.157894737,TRUE,https://www.yelp.com/biz_photos/kennedys-chicken-and-grill-new-york-2?select=INr6Q-rNeOIg7RN_4t97RA,
210,Di Fara Pizza,C8j0q4Ma_S5hBGuAI-aaww,https://www.yelp.com/biz/di-fara-pizza-brooklyn?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,3453,"{""1424 Ave J"",""Brooklyn, NY 11230""}",5384,https://s3-media4.fl.yelpcdn.com/bphoto/NwBFMDCiMwkP2kuxjjVr4w/o.jpg,40.625093,-73.961531,Keep It Halal,40.6292657,-73.9662669,0.612389588,0.230769231,YANA - Uyghur Kebab Express,40.7040511,-74.0090199,9.650267494,0.15,FALSE,False advertising their not��_halal��_or kosher so why does it show up on both categories plus I had better pizza like from doluca on newkirk plaza and house pizza on avenue h,
237,Abide Brooklyn Pita,xr5P1dq-2pfG4rag7kakDg,https://www.yelp.com/biz/abide-brooklyn-pita-brooklyn?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,94,"{""301 7th Ave"",""Brooklyn, NY 11215""}",5403,https://s3-media1.fl.yelpcdn.com/bphoto/8ui3O-mxwXVdywto8Tuxsg/o.jpg,40.66772198,-73.98071755,Istanbul Park,40.667791,-73.980478,0.021612258,0.3125,YANA - Uyghur Kebab Express,40.7040511,-74.0090199,4.691848859,0.130434783,FALSE,?,
247,Katz's Delicatessen,V7lXZKBDzScDeGB8JmnzSA,https://www.yelp.com/biz/katzs-delicatessen-new-york?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,12257,"{""205 E Houston St"",""New York, NY 10003""}",5413,https://s3-media1.fl.yelpcdn.com/bphoto/B6xNx79cSE7bFxqERBYOhg/o.jpg,40.722237,-73.98743,The MasalaWala,40.721573,-73.986657,0.098463113,0.242424242,Krave Shack,40.721219,-73.9841088,0.301911891,0.266666667,FALSE,I'll be at��_Halal��_Guys which is always good.,
257,Joy Indian Restaurant,Nt7vyXyaxnyXpP4NNgrSvw,https://www.yelp.com/biz/joy-indian-restaurant-brooklyn?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,645,"{""301 Flatbush Ave"",""Brooklyn, NY 11217""}",5454,https://s3-media3.fl.yelpcdn.com/bphoto/Nya_z41eP2WgFbzlzU7B3g/o.jpg,40.67883,-73.9734299,SkyIce Sweet & Savory,40.68064117,-73.97728729,0.382578387,0.095238095,YANA - Uyghur Kebab Express,40.7040511,-74.0090199,4.107172899,0.25,TRUE,"Plus, the place is��_halal��_and looks always clean and elegant!",
259,NAYA,4fNKBr3mlxKHfCojW0i_Uw,https://www.yelp.com/biz/naya-new-york-16?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,405,"{""688 3rd Ave"",-,""New York, NY 10017""}",5735,https://s3-media2.fl.yelpcdn.com/bphoto/GDAo_RASk6jj-s2IqPrV5Q/o.jpg,40.751708,-73.973977,Joy,40.753516,-73.973653,0.202884435,0,Kebab House (Halal),40.7515453,-73.9735893,0.037334198,0,FALSE,"��_Good, but don't think it's worth the extra $$ over a��_halal��_cart.",
260,The Gully,#NAME?,https://www.yelp.com/biz/the-gully-astoria?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,129,"{""25-45 Steinway St"",""Astoria, NY 11103""}",5736,https://s3-media2.fl.yelpcdn.com/bphoto/_SJB86T1lsUDjIaxQ4mayA/o.jpg,40.766743,-73.912307,El-Rawsheh,40.76681,-73.912829,0.044587599,0.210526316,Holy Cow,40.76872,-73.954887,3.592603204,0.235294118,TRUE,Last night we celebrate my best birthday 6 of us I really enjoyed it the desi style restaurant and 100%��_halal��_food.,
261,Sammy's Halal,3Wu7lGDEwuP-5OW1rdg0OQ,https://www.yelp.com/biz/sammys-halal-new-york-4?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,169,"{""70 W 39th St"",""New York, NY 10018""}",5737,https://s3-media3.fl.yelpcdn.com/bphoto/3eiV2SNHmvvTCo-SXykf0g/o.jpg,40.75276,-73.9853,Cinnamon Garden,40.7266901,-73.9872499,2.903491828,0.285714286,Momo's Mediterranean Grill,40.7274097,-73.9857329,2.819060688,0.358974359,TRUE,In name,
